f,name,price,energy,protein,fat,carbo,salt,calcium,veg,iron,va,vb1,vb2,vc,place,category
f1,鶏と茄子の山賊炒め,286,451,12.9,34.4,26.4,1.8,51,194,1.7,41,0.14,0.16,58,p1,c1
f2,ビーフシチュー,286,297,9.6,16.3,30.7,1.7,26,80,1.4,198,0.15,0.1,28,p1,c1
f3,鯖味噌煮,242,209,10,15.1,6.7,0.7,8,0,0.6,25,0.08,0.2,1,p1,c1
f4,Eチキン南蛮,330,512,18.4,33.8,33.2,3.6,20,0,0.5,6,0.09,0.09,6,p1,c1
f5,Eローストンカツ玉子あんかけ,286,406,16,27.9,21.8,1.4,11,0,0.5,10,0.4,0.12,0,p1,c1
f6,Eハンバーグサルサソース,242,223,14.9,11.1,14.5,1.7,36,23,1.3,36,0.14,0.13,9,p1,c1
f7,コーンとツナのサラダ,121,77,5.9,3.3,7.3,0.2,19,65,0.6,5,0.08,0.05,17,p1,c2
f8,オクラ巣ごもり玉子,99,94,7.8,6.4,3.4,0.7,60,33,1.4,108,0.06,0.25,2,p1,c2
f9,小松菜と揚げ生姜風味,99,33,2.1,1.1,3.6,0.9,70,39,1,100,0.02,0.03,13,p1,c2
f10,鶏と枝豆のたんぱく和え,99,90,8.1,3.7,7.8,0.7,30,40,1,7,0.11,0.07,9,p1,c2
f11,だし巻き,77,98,6.2,6.1,3.5,1,25,0,0.8,111,0.04,0.04,0,p1,c2
f12,ひじき煮,77,60,2,3,6.2,1,39,5,0.5,48,0.02,0.03,0,p1,c2
f13,ミニサラダ,55,6,0.3,0.1,1.6,0,11,33,0.1,7,0.01,0.01,9,p1,c2
f14,夏のさっぱり豚汁,121,75,5.4,4.2,5.5,1.8,37,65,0.4,109,0.16,0.07,7,p1,c2
f15,味噌汁,44,38,2.1,1.9,2.8,1.2,28,0,0.5,1,0,0.01,0,p1,c2
f16,鶏天うどん,396,503,20.3,9.8,83.7,5.1,33,5,1,11,0.11,0.12,4,p1,c3
f17,鶏天そば,396,493,26.4,10.5,73.8,4.3,33,5,1.9,11,0.16,0.13,4,p1,c3
f18,冷やし担々麺,506,596,20.9,20,83.4,4.5,186,60,2.7,126,0.24,0.16,9,p1,c3
f19,まぐとろキムチ丼中,495,493,15.8,5.4,99.3,1.9,38,37,1.2,37,0.15,0.1,12,p1,c4
f20,まぐとろキムチ丼小,440,349,11.1,3.8,70.4,1.4,26,26,0.9,25,0.1,0.08,8,p1,c4
f21,たっぷりチーズカレー,440,710,20.3,21.8,110.6,4.4,260,12,1.4,124,0.1,0.17,1,p1,c4
f22,カレーライス中,319,566,10.5,10.6,109.9,3.8,37,12,1.3,53,0.09,0.06,1,p1,c4
f23,フルーツヨーグルト,132,78,2.7,2.2,12.9,0.1,89,0,0.1,29,0.04,0.1,20,p1,c5
f24,焼きプリンタルト,88,125,1.8,7,13.3,0.1,42,0,0.1,13,0.02,0.06,0,p1,c5
f25,大学芋,110,157,0.6,3.2,31.7,0,15,0,0.3,1,0.05,0.03,10,p1,c5
f26,牛乳,98,122,6.6,7.6,9.6,0.2,220,0,0,76,0.08,0.3,2,p1,c5
f27,大学生協コーヒー,105,136,4.6,5,18,0.2,154,0,0,54,0.06,0.22,2,p1,c5
f28,ライス大,147,484,7.8,0.9,115,0,9,0,0.3,0,0.06,0.03,0,p1,c7
f29,ライス中,126,374,6,0.7,89,0,7,0,0.2,0,0.05,0.02,0,p1,c7
f30,ライス小,105,265,4.3,0.5,63.1,0,5,0,0.2,0,0.03,0.02,0,p1,c7
f31,ライスミニ,84,156,2.5,0.3,37.1,0,3,0,0.1,0,0.02,0.01,0,p1,c7
f32,チキン南蛮,374,554,18.9,36.9,36.7,4,35,33,0.6,10,0.1,0.11,20,p2,c1
f33,ローストンカツ玉子あんかけ,330,413,16.4,28,23.5,1.4,25,33,0.6,11,0.41,0.13,14,p2,c1
f34,ハンバーグサルサソース,286,230,15.3,11.2,16.2,1.7,50,56,1.4,37,0.15,0.14,23,p2,c1
f35,鶏と茄子の山賊炒め,286,451,12.9,34.4,26.4,1.8,51,194,1.7,41,0.14,0.16,58,p2,c1
f36,ビーフシチュー,286,297,9.6,16.3,30.7,1.7,26,80,1.4,198,0.15,0.1,28,p2,c1
f37,フライドチキン,198,229,6.6,13.7,20,1.4,9,0,0.4,21,0.05,0.06,1,p2,c1
f38,ハッシュポテト,121,143,2.4,7.6,16.3,0.9,30,0,0.3,12,0.06,0.36,22,p2,c1
f39,鯖生姜煮,242,195,9.5,14.2,5.6,0.8,5,0,0.6,23,0.08,0.2,1,p2,c1
f40,油淋鶏,374,498,29.7,34.1,20.3,2.7,28,35,1.3,73,0.19,0.27,24,p2,c1
f41,蒸し鶏サラダ,121,47,4.8,0.7,7,0.2,19,60,0.3,4,0.06,0.04,18,p2,c2
f42,オクラ巣ごもり玉子,99,94,7.8,6.4,3.4,0.7,60,33,1.4,108,0.06,0.25,2,p2,c2
f43,小松菜と揚げ生姜風味,99,33,2.1,1.1,3.6,0.9,70,39,1,100,0.02,0.03,13,p2,c2
f44,ほうれん草ごまナムル,99,45,2,2.6,4,0.6,61,54,0.7,162,0.03,0.04,6,p2,c2
f45,ほうれん草,77,14,1.8,0.2,2.1,0.2,63,63,0.8,275,0.04,0.08,12,p2,c2
f46,マカロニサラダ,77,136,1.8,9.6,10.4,0.6,7,3,0.4,26,0.03,0.03,0,p2,c2
f47,ひじき煮,77,60,2,3,6.2,1,39,5,0.5,48,0.02,0.03,0,p2,c2
f48,鶏きも煮,99,66,8.6,1.4,4.6,0.5,3,0,4.1,6222,0.17,0.81,9,p2,c2
f49,夏のさっぱり豚汁,121,75,5.4,4.2,5.5,1.8,37,65,0.4,109,0.16,0.07,7,p2,c2
f50,味噌汁,44,38,2.1,1.9,2.8,1.2,28,0,0.5,1,0,0.01,0,p2,c2
f51,豚キムサラダ,198,134,10.4,8,6.6,1.7,25,85,0.6,9,0.36,0.14,11,p2,c2
f52,冷やし山かけうどん,396,373,9.7,1.5,81.1,3.9,40,5,1,29,0.12,0.09,7,p2,c3
f53,冷やし山かけそば,396,363,15.8,2.2,71.2,3.1,40,5,1.9,29,0.17,0.1,7,p2,c3
f54,かけうどん,264,331,7.5,1.3,72.4,4.2,26,5,0.7,6,0.05,0.05,2,p2,c3
f55,かけそば,264,321,13.6,2,62.5,3.4,26,5,1.6,6,0.1,0.06,2,p2,c3
f56,まぐとろキムチ丼中,495,493,15.8,5.4,99.3,1.9,38,37,1.2,37,0.15,0.1,12,p2,c4
f57,チキンカツ南蛮丼中,440,863,23.1,35.6,115.6,3.1,32,30,0.9,16,0.13,0.1,14,p2,c4
f58,チキンカツカレー中,440,883,26.5,31,127.2,4.5,45,12,1.8,63,0.16,0.12,3,p2,c4
f59,カレーライス中,319,566,10.5,10.6,109.9,3.8,37,12,1.3,53,0.09,0.06,1,p2,c4
f60,生チョコケーキ,176,98,1.5,5.9,9.6,0,16,0,0.3,32,0.02,0.05,0,p2,c5
f61,フルーツヨーグルト,132,78,2.7,2.2,12.9,0.1,89,0,0.1,29,0.04,0.1,20,p2,c5
f62,焼きプリンタルト,88,125,1.8,7,13.3,0.1,42,0,0.1,13,0.02,0.06,0,p2,c5
f63,大学芋,110,157,0.6,3.2,31.7,0,15,0,0.3,1,0.05,0.03,10,p2,c5
f64,牛乳,98,122,6.6,7.6,9.6,0.2,220,0,0,76,0.08,0.3,2,p2,c5
f65,大学生協コーヒー,105,136,4.6,5,18,0.2,154,0,0,54,0.06,0.22,2,p2,c5
f66,ライス大,147,484,7.8,0.9,115,0,9,0,0.3,0,0.06,0.03,0,p2,c7
f67,ライス中,126,374,6,0.7,89,0,7,0,0.2,0,0.05,0.02,0,p2,c7
f68,ライス小,105,265,4.3,0.5,63.1,0,5,0,0.2,0,0.03,0.02,0,p2,c7
f69,ライスミニ,84,156,2.5,0.3,37.1,0,3,0,0.1,0,0.02,0.01,0,p2,c7
f70,鶏と茄子の山賊炒め,286,451,12.9,34.4,26.4,1.8,51,194,1.7,41,0.14,0.16,58,p3,c1
f71,Eハンバーグサルサソース,242,223,14.9,11.1,14.5,1.7,36,23,1.3,36,0.14,0.13,9,p3,c1
f72,ビーフシチュー,286,297,9.6,16.3,30.7,1.7,26,80,1.4,198,0.15,0.1,28,p3,c1
f73,Eチキン南蛮,330,512,18.4,33.8,33.2,3.6,20,0,0.5,6,0.09,0.09,6,p3,c1
f74,海老よせフライ,242,402,8.5,31,22.1,1.8,28,2,0.6,4,0.04,0.07,1,p3,c1
f75,オマール仕立てのビスクコロッケ,121,191,2.9,13.5,14.8,0.7,25,10,0.2,6,0.03,0.02,1,p3,c1
f76,フライドチキン,198,229,6.6,13.7,20,1.4,9,0,0.4,21,0.05,0.06,1,p3,c1
f77,鯖味噌煮,242,209,10,15.1,6.7,0.7,8,0,0.6,25,0.08,0.2,1,p3,c1
f78,蒸し鶏サラダ,121,47,4.8,0.7,7,0.2,19,60,0.3,4,0.06,0.04,18,p3,c2
f79,オクラ巣ごもり玉子,99,94,7.8,6.4,3.4,0.7,60,33,1.4,108,0.06,0.25,2,p3,c2
